1.0000000000	whole grain
1.0000000000	gluten free
1.0000000000	ice cream
0.7662537329	cream
0.7629503313	cheese
0.7627223590	red
0.7605982680	vinegar
0.7604101789	meat
0.7577462468	wine
0.7554457699	bread
0.7435108950	oil
0.7415083050	fruit
0.7397301190	white
0.7315924212	juice
0.7315073170	syrup
0.7305350383	rice
0.7288673773	pepper
0.7280053545	butter
0.7243051644	beef
0.7235419163	sugar
0.7223763289	sauce
0.7163537295	sausage
0.7163196505	chocolate
0.7136211362	milk
0.7106477979	grain
0.7086941039	coconut
0.7043755408	green
0.6981509496	tea
0.6748578122	flour
0.6721918332	baking
0.6711730016	orange
0.6690065604	mustard
0.6644298970	gluten
0.6579348974	pasta
0.6526461533	liqueur
0.6503489779	pork
0.6474408323	veal
0.6458909068	ground
0.6436771019	vegetables
0.6410782551	powder
0.6400801418	ice
0.6362193322	dough
0.6301162252	mushroom
0.6230890720	free
0.6224246879	frozen
0.6218481403	almond
0.6077404912	mix
0.6054629193	jam
0.5950044303	lemon
0.5950044303	fresh
0.5911525689	canned
0.5718422708	dried
0.5564693510	whole
0.5509787073	with
